epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,1.0183475017547607,0.8700778484344482,0.9058074355125427,0.8062388300895691
1,0.0010000000474974513,1.0077112913131714,0.865710437297821,0.90590500831604,0.8067159652709961
2,0.0010000000474974513,1.0063406229019165,0.8650758266448975,0.9072548747062683,0.8056042194366455
3,0.0010000000474974513,1.0047158002853394,0.8642302751541138,0.9186822175979614,0.809277355670929
4,0.0010000000474974513,1.002740740776062,0.8628950119018555,0.9122561812400818,0.8081352710723877
5,0.0010000000474974513,0.9997263550758362,0.8618764281272888,0.9185256958007812,0.8099090456962585
6,0.0010000000474974513,0.9962409138679504,0.8599944114685059,0.9118512868881226,0.8062129020690918
7,0.0005000000237487257,0.988672137260437,0.8563383221626282,0.910849392414093,0.8054329752922058
8,0.0005000000237487257,0.9859259724617004,0.8550223112106323,0.90631502866745,0.8040152788162231
9,0.0005000000237487257,0.9823344945907593,0.8538699746131897,0.9051986932754517,0.8016722798347473
10,0.0005000000237487257,0.9793336391448975,0.8527271151542664,0.9050970673561096,0.7999701499938965
11,0.0005000000237487257,0.9738390445709229,0.8493896126747131,0.9075029492378235,0.8010358214378357
12,0.0005000000237487257,0.9700807332992554,0.84641033411026,0.9095823764801025,0.8012043833732605
13,0.0005000000237487257,0.9661809206008911,0.8451006412506104,0.9040752649307251,0.7984985113143921
14,0.0005000000237487257,0.963902473449707,0.8436247706413269,0.9068319797515869,0.8003706932067871
15,0.0005000000237487257,0.9554768800735474,0.8393675684928894,0.9064072966575623,0.8010479807853699
16,0.0005000000237487257,0.9514884352684021,0.8366152048110962,0.9203634858131409,0.8036258816719055
17,0.0005000000237487257,0.9477811455726624,0.8351349234580994,0.9143045544624329,0.8028481006622314
18,0.0005000000237487257,0.9454875588417053,0.8350895047187805,0.9144127368927002,0.7997575402259827
19,0.0005000000237487257,0.9343928098678589,0.8283732533454895,0.9087317585945129,0.7989168763160706
20,0.0002500000118743628,0.9215258359909058,0.8218238353729248,0.9242732524871826,0.8032623529434204
21,0.0002500000118743628,0.9169022440910339,0.8185394406318665,0.9221323728561401,0.8004075884819031
22,0.0002500000118743628,0.910114049911499,0.8157581090927124,0.9269531965255737,0.8001328706741333
23,0.0002500000118743628,0.9074137806892395,0.8144738674163818,0.9266237020492554,0.8009198307991028
24,0.0002500000118743628,0.8990159630775452,0.8100025057792664,0.936752200126648,0.7981253862380981
25,0.0002500000118743628,0.8946645259857178,0.808497428894043,0.9386273622512817,0.8021305203437805
